press,headline
연합뉴스,"두산로보틱스·서울시·LG전자, 이용 편리한 전기차 충전인프라 구축 MOU"
국민일보,"위기의 中헝다, 전기차 계열사 2곳 파산 및 법정 관리"
파이낸셜뉴스,유엔 기구가 현대차 '아이오닉 5' 사용한다고?
데일리안,"현대차, 유엔세계식량계획 전 세계 주요 사무소에 아이오닉 5 제공"
뉴시스,"""아이오닉5, 유엔사무소 누빈다""…현대차, 유엔기구 협약"
매일경제,현대차 글로벌 톱3 … 도요타와 격차 더 줄여
전자신문,"중국산 전기차, 상반기 유럽 車 점유율 '18.2%' 껑충"
한국경제,"현대차, UN세계식량기구에 '아이오닉 5' 제공…파트너십 체결"
조선비즈,글로벌 전기차 부진 속 테슬라 자리 넘보는 中 전기차 업계
더팩트,"현대차·기아, 프랑스 판매 10대 중 6대 친환경차…소형 EV 공략"
스포츠동아,"현대차·기아, 올림픽 열리고 있는 프랑스서 판매하는 신차 10대 중 6대는 친환경차"
YTN,"현대차, 유엔 세계식량기구와 모빌리티 협력 체결"
디지털타임스,"현대차·기아, 프랑스 신차 10대 중 6대 친환경차"
조선비즈,"현대차·기아, 프랑스 판매 60%는 친환경차"
조선일보,"현대차, 유엔세계식량계획과 파트너십 체결"
일간스포츠,일본서 맥 못 추는 현대차...캐스퍼 EV로 반전 노린다
한국경제,"현대차, 유엔세계식량계획에 '아이오닉 5' 제공"
경향신문,"현대차·기아, 올해 들어 프랑스에 ‘10대 중 6대’ 꼴로 친환경차 팔았다"
파이낸셜뉴스,'하이브리드 늘려야 산다'..현대차·기아 전략 수정 [FN 모빌리티]
SBS,"현대차·기아 ""프랑스에 판매 신차 10대 중 6대 친환경차"""
노컷뉴스,"""친환경이 대세""…현대차·기아, 프랑스 신차 중 10대 중 6대"
연합뉴스,"현대차·기아, 프랑스에 판매 신차 10대 중 6대는 친환경차"
쿠키뉴스,"“더 나은 내일을 향해”…현대차, 유엔세계식량계획과 파트너십"
머니투데이,시흥 프리미엄아울렛 전기차 충전소서 20대 근로자 감전사
매일경제,"현대차·기아, 프랑스 출시 신차 60%가 친환경차…캐스퍼 EV도 출격"
연합뉴스,"LG전자, 서울시와 전기차 충전인프라 구축 업무협약 체결"
뉴시스,전기차 부진에 ESS 관심…매출 비중 작아도 포트폴리오 다변화
연합뉴스,"LG전자, 서울시와 전기차 충전인프라 구축 업무협약 체결"
머니투데이,"현대차·기아, 프랑스에서 판매한 신차 중 친환경차가 60%"
파이낸셜뉴스,"이볼루션, 'Charge할 때만 차지하기'로 전기차 사용문화 개선에 앞장"
SBS Biz,"'빚더미' 中 헝다, 전기차 계열사 파산신청 접수돼...비구이위안은 법정 청산 심리 또 연기"
SBS Biz,"현대차·기아, 프랑스 판매 車 10대 중 6대 '친환경차'"
매일경제,"“기아, 전기차 부문 글로벌 최고 수준 수익성…하반기에도 승승장구”"
MBC,시흥 아울렛 매장 전기차 충전소서 작업하던 20대 노동자 감전사
경기일보,시흥 프리미엄아울렛 전기차 충전소서 수리작업하던 20대 감전사
한국경제,"현대차·기아, 프랑스 판매 신차 10대 중 6대는 '친환경차'"
SBS,시흥 프리미엄아울렛 전기차 충전소 수리하던 20대 감전사
KBS,아울렛 주차장 전기차 충전소서 수리 작업하던 20대 감전사
조선비즈,‘경영난’ 中 헝다 전기차 계열사 2곳 파산 위기
한국경제TV,'빚더미' 中 헝다 전기차 계열사 2곳 파산 신청
뉴시스,"이지트로닉스, 자율주행 스타트업과 전기차 핵심 부품 개발 계약"
노컷뉴스,"현대차, 아이오닉5 유엔세계식량계획에 기증…""더 나은 내일 향해"""
MBC,'빚더미' 중국 헝다 전기차 계열사 2곳 대상 파산신청 접수돼
한겨레,“전기차·배터리 핵심 광물 남미에…전략적 외교 필요”
뉴시스,美中 전기차 급부상에 日자동차업계 재편 가속화…'反도요타 구축'
조선비즈,"[컨콜] 삼성전기 “하반기, 전장용 MLCC 두 자릿수 성장… 수요 맞춰 증설할 것”"
KBS,전기차 수요 정체…2차전지 소재 부진 장기화
SBS,시흥 프리미엄아울렛 전기차 충전소서 수리 작업하던 20대 감전사
디지털타임스,“中은 이미 남미에 눈독…전기차·배터리 자원 협력 증진해야”
문화일보,佛서 팔리는 현대·기아차… 10대 중 6대는 ‘친환경’
연합뉴스,시흥 프리미엄아울렛 전기차 충전소서 수리작업하던 20대 감전사
국민일보,상반기 합산 139兆… 현대차 ‘싼타페·GV80’·기아 ‘전기차’ 견인
SBS Biz,中전기차 '유럽산' 둔갑...'관세폭탄' 어림없지
SBS,'빚더미' 헝다 전기차 계열사 2곳 대상 파산신청 접수돼
뉴시스,경기도 소재 아울렛 전기차 충전소 작업 중 20대 감전사
SBS Biz,"현대차·기아 ""프랑스 판매 신차 10대 중 6대는 친환경차"""
지디넷코리아,"에코프로, 결국 'CAPA 축소' 검토...""차세대 제품 개발 적극 대응"""
KBS,중국 헝다 전기차 계열사 2곳 대상 파산신청 접수돼
머니투데이,전기차 충전 인프라정책 확대…'유망주' SK시그넷 발굴
매경이코노미,트럼프 2기 정책은 ‘애니씽 벗 바이든’
연합뉴스,'빚더미' 中헝다 전기차 계열사 2곳 대상 파산신청 접수돼
매일경제,“절망뿐이네요” 에코프로 4형제 ‘휘청’…얼어붙은 2차전지株
파이낸셜뉴스,美·中 맞서 '혼다·닛산·미쓰비시' 동맹... 전기차 시대 생존전략 다시 짠 日자동차
지디넷코리아,상반기 내수 부진 깰까…하반기 출격하는 신차는
전자신문,[ET톡]후진하는 '전기 택시' 보급
머니투데이,불편하지만 적시해야 할 전기차 정책후퇴 지적한 리포트
한국경제TV,"""신사업, 진행시켜""…'AI·전장' 올라탄 삼성전기"
MBN,"[인터넷 와글와글] 서울시, 전기차 급속충전기 80% 충전 제한 도입"
YTN,전기차 충전소에서 작업하던 노동자 숨져
동아일보,"해리스, 전기차-태양광 등 투자 지속할듯… 트럼프, 석탄-석유 등 예산투입 확대 예고"
머니투데이,"현대모비스, 전기차 수요 둔화에 고정비 부담-LS증권"
비즈워치,"에코프로, '캐즘 후폭풍'에 휘청"
한국경제,"""우버, BYD와 전세계 우버플랫폼에 EV 10만대 배치"""
중앙일보,전기차 캐즘에 원자재·운임까지 상승…잘 달리던 K타이어 고심
SBS,"대기업 절반, 5년간 신사업 추가 없어…'미래형 차' 인기 사업"
한국경제,"현대차그룹, 소방관에 수소전기버스 지원하고 영상 올렸더니"
MBN,"현대자동차, 유엔세계식량계획과 모빌리티 부문 파트너십 체결"
동아일보,‘21세기 연금술사’ 거듭난 고려아연… 친환경 제련·폐기물 재생 기반 자원순환 생태계 구축
파이낸셜뉴스,"'그 잘나가던' 에코프로 '적자전환'...""양극재 캐파 축소 검토"""
매일경제,"얼티엄셀즈, 율촌화학에 1.5조 계약해지"
매일경제,눈덩이 손실 中헝다 전기차 계열사 2곳 워크아웃 신청
아이뉴스24,"전기차 경쟁력 갖추자…미쓰비시, 혼다·닛산 동맹에 합류"
뉴시스,"에코프로, 캐즘에 적자전환…""양극재 캐파 하향 검토""(종합)"
뉴시스,"수요 감소 직격탄 맞은 K-배터리…잇단 ""목표하향·투자조절"""
파이낸셜뉴스,"LS, 배·전·반 전방위 확대… ‘양손잡이 경영’ 박차"
머니투데이,"SKIET, 2분기 적자전환…""청주공장·FCW 연내 매각 추진"""
한국경제,최대 48% 관세 우회하려고 中전기차 '유럽산'으로 둔갑
지디넷코리아,"中 전기차 '니오', 삼성 OLED 장착 '니오폰 2' 발표"
파이낸셜뉴스,"'물 들어온' LS, 전력+배·전·반 ‘양손잡이 경영’ 전략 속도"
문화일보,"“전기차 80% 충전되면 끝”…서울시, 급속충전기 충전 제한 도입"
연합뉴스,"하루 만에 반등한 코스피 2,770선 회복…코스닥은 약보합(종합)"
조선비즈,"롯데, 'AI 전환·신사업 강화'로 혁신 가속화"
뉴시스,"현대차그룹, 올해도 '글로벌 톱3'…1위 향해 달린다"
연합뉴스,"투자 미루고 캐파 축소…배터리소재업계, 실적 한파에 속도 조절"
연합뉴스,"베트남 노동자 평균 임금, 상반기에만 7.4% 상승"
전자신문,"BMW 바바리안 모터스, 獨 시험인증기관 '인증 중고차 프로세스' 인증 획득"
연합뉴스,"에코프로 ""양극재 캐파 하향 검토…미래 위한 투자는 지속"""
국민일보,"“충전기를 주차장처럼”… 서울시, ‘전기차 얌체족’ 잡는다"
파이낸셜뉴스,"스마트 기술 접목 안전한 고속도로 만든다.. 도로공사, AI, 드론 등 첨단 기술 도입"
한국경제,'기업애로지원단' 띄운 부산…투자유치 '속도'
오토타임즈,"[하이빔]PHEV, 넌 대체 누구 편이냐"
전자신문,에코프로 “하반기 반등 어려워…양극재 생산 능력 하향 검토”
매경이코노미,관세 폭탄 땐 ‘트럼플레이션’ 쓰나미
한국경제TV,"에코프로 ""양극재 캐파 축소 검토…투자는 지속"""
매경이코노미,해리스 도전 받는 트럼프노믹스
한국경제,"""테슬라 덕에 겨우 지켰다""…에코프로비엠, 코스닥 1위 자리 '위태'"
KBS,“혼다·닛산 ‘전기차 동맹’에 미쓰비시자동차도 합류”
한국경제,"SKIET, ""FCW 설비 이어 청주 분리막 공장 매각"""
디지털타임스,"서울시, 전기차 급속충전율 80% 제한 도입"
프레시안,에코프로 2분기 매출 감소...‘546억원’ 영업손실
조선비즈,"요즘 전기차 업체 신통찮은데, 충전 업체는 2년만에 몸값 4배 됐다고?"
뉴시스,"기아, 중국 현지 판매 회복세…""EV5로 이익 더 늘린다"""
한국경제,"수입차 중 유일하게 부산모빌리티쇼 참가한 BMW…지역 상생, 고객 소통 돋보여"
동아일보,"BMW 바바리안 모터스, 독일 TUV SUD ‘인증 중고차 프로세스’ 획득"
한국경제,"""트럼프 보통 아니네…"" 주식창 열었다가 '화들짝' 놀란 이유"
파이낸셜뉴스,"‘캐즘 늪’ SK온, 하반기 흑자전환 기대... 배터리 탑재 전기차 美판매 증가에 희망"
뉴시스,'전기차 의무' 철폐…글로벌 車업계 벌써 '긴장'[트럼프 車 정책 어디로①]
파이낸셜뉴스,"현대車, 유엔 기구에 아이오닉 5 지원"
한경비즈니스,"에코프로, 2분기 영업손실 546억…적자 전환"
SBS,경기 구리서 전기자전거 역주행하던 80대 차에 치여 숨져
전자신문,"국제e-모빌리티엑스포, '비즈니스 네트워킹 엑스포'로 거듭난다...내년 4월 제12회 행사 개최"
머니투데이,"'캐즘' 직격탄 맞은 K-배터리, 일단 '버티기'…투자 줄이고 내실 다진다"
디지털타임스,"현대모비스, 글로벌 수주 확대로 ESG 경영 강화…""현지 시장 요구 부응"""
매일경제,"넥센타이어, 유럽 사업 호조에 사상 최대 분기 매출"
뉴시스,中 전기차 관세장벽…美 시장 포기할까 [트럼프 車 정책 어디로③]
한국경제,TSMC 다음 공격 타깃은…'트럼프의 입'에 떠는 시장
조선일보,"‘배터리 80% 차면 충전 종료’ 서울시, 전기차 급속 충전기 충전 제한 9월 도입"
연합뉴스,"전기 자전거 탄 80대 노인, 중앙선 넘으려다 차에 치여 사망"
조선비즈,"엘앤에프, LFP 배터리 국책과제 주관기업 선정"
파이낸셜뉴스,건설 끌고 리조트 밀고… 삼성물산 2분기 '실적 선방' 견인(종합)
쿠키뉴스,"에코프로, 2분기 매출액 8641억…“적자전환에도 미래투자 지속”"
파이낸셜뉴스,첨단기술로 연결된 고속도로… 도로公의 건설혁신은 진행형
매일경제,[단독] LG·도요타 日서 비공개 테크쇼 전기차·자율주행 '미래차 동맹'
데일리안,삼성물산 상사 부문 2Q 영업익 720억…전년비 36.8% 감소
연합뉴스,"태국, 해외첨단산업 자국인재 유치전…""귀국하면 소득세 절반↓"""
연합뉴스,美 테슬라-오토바이 충돌 사망사고 당시 '자율주행 모드' 작동
머니투데이,"14.8조→5.3조 '뚝'…개미 떠난 코스닥, 거래대금 연중 최저"
뉴시스,"""2분기 7638억원"" 넥센타이어, 분기 매출 사상 최대"
머니투데이,"2분기 적자 전환한 에코프로…""설비 증설 예정대로"""
MBC,"도로에서 전기 자전거 타던 80대, 차에 치여 숨져"
파이낸셜뉴스,"""여름 휴가 전 필수""...금호타이어, 제품 무상점검 서비스"
신동아,"[르포] ‘전기차 메카’ 육성 12년, 제주를 가다"
연합뉴스,자율주행버스 청계천∼세운상가 오간다…완전 자동은 '아직'
연합뉴스,"80% 충전되면 끝…서울시, 전기차 급속충전기 충전제한 도입"
비즈워치,"현대모비스, 미래 모빌리티 시장서 '글로벌 리더십' 뽐냈다"
매일경제,“돌고 돌아 순정 부품”…자동차 애프터마켓에 부는 ‘순풍’
한국경제,'기업사 새옹지마'…직격탄 맞은 양극재사 '버티기' 들어갔다
머니투데이,K-배터리 '보릿고개' 이렇게 혹독할 줄은…영업익 '10분의 1'토막
오토타임즈,"금호타이어, 주요 고속도로 휴게소서 무상점검 실시"
쿠키뉴스,신사업에 소극적인 대기업들… 절반 넘게 추가 ‘제로’
머니투데이,"엘앤에프, 'LFP 배터리 기술개발' 국책과제 주관기업 선정"
데일리안,"엘앤에프, LFP 국책과제 주관기관 선정…“저가형 배터리 시장 공략 강화”"
파이낸셜뉴스,신사업 몸사리는 대기업들… 절반 넘게 추가 '제로(0)'
