press,title,tokenized
YTN,자율주행 전기차 '애플 카'.. 자동차전문가의 분석,"['자율', '주행', '전기차', '애플', '카', '자동차', '전문가', '분석']"
중앙일보,"[뉴스분석] 애플, 전기차까지 만들어?","['뉴스', '분석', '애플', '전기차']"
노컷뉴스,"[제주의 꿈을 함께]""이제는 전기차산업의 파이 키울 때""","['제주', '꿈', '이제', '전기차', '산업', '파이', '때']"
한국경제TV,"""전기차 망설여지네..""..""쏘렌토 하이브리드 어때?"" [궁금타]","['전기차', '쏘렌토', '하이브리드', '궁금타']"
KBS,5년 뒤 전기차 113만대 수소차 20만대..미래차 대세 바뀐건가?,"['뒤', '전기차', '수소차', '미래', '차', '대세', '건가']"
연합뉴스,"전기차 허브 목표 인도네시아, 2030년까지 충전소 3만1천개 필요","['전기차', '허브', '목표', '인도네시아', '충전', '소', '필요']"
연합뉴스,[톡톡 지방자치] '붕붕붕' 전기차 천국 만드는 제주도 저탄소정책과,"['톡톡', '지방자치', '붕붕', '붕', '전기차', '천국', '제주도', '탄소', '정책']"
지디넷코리아,"부실한 전기차 충전방해금지법..""위반차량 신고 하나마나""","['전기차', '충전', '방해', '금지법', '위반', '차량', '신고', '하나', '마나']"
머니투데이,1000만원 넘게 전기차 보조금 줬는데 '1800억' 남았다,"['전기차', '보조금']"
국민일보,150조 전기차 시장 열리는데.. LG화학·SK이노 9년째 내전 중,"['전기차', '시장', '화학', '이노', '내전', '중']"
KBS,[ET] 소화기 뿌려도 '활활'..전기차 배터리 화재 실험,"['소화기', '활활', '전기차', '배터리', '화재', '실험']"
전자신문,"[단독] 값비싼 전기차, 내년부터 국가 보조금 못 받을 듯","['단독', '값', '전기차', '내년', '국가', '보조금', '못', '듯']"
디지털타임스,간판 바꿔달고 근본적 혁신.. 전기차·모빌리티 기업 변신,"['간판', '달', '근본', '혁신', '전기차', '모빌리티', '기업', '변신']"
뉴시스,中 전기차 보조금 정책 유지?..배터리 업계 '촉각',"['전기차', '보조금', '정책', '유지', '배터리', '업계', '촉각']"
연합뉴스,"벤츠 차세대 고급 전기차 '비전 EQS' 국내 첫 공개..""내년 양산""","['벤츠', '차세대', '고급', '전기차', '국내', '첫', '공개', '내년', '양산']"
지디넷코리아,무법 주차장으로 전락한 '전기차 완속 충전소',"['무법', '주차장', '전락', '전기차', '완속', '충전', '소']"
연합뉴스,'외제차 보다 전기차가 무서워'..배터리 교체비만 2천만원 넘어,"['외제차', '전기차', '배터리', '교체', '비만']"
조선비즈,"[시승기] 포르쉐 타이칸, 뛰어난 완성도..슈퍼카도 전기차 시대","['승기', '포르쉐', '타이', '칸', '완성', '슈퍼카', '전기차', '시대']"
연합뉴스,배터리 3사 공장 다 둘러본 정의선..전기차로 세계공략 박차,"['배터리', '사', '공장', '정의선', '전기차', '세계', '공략', '박차']"
연합뉴스,정의선-최태원도 만났다..미래 전기차 배터리 협력 논의(종합),"['정의선', '최태원', '미래', '전기차', '배터리', '협력', '논의', '종합']"
연합뉴스,전기차가 역시 대세..슈퍼카 벤틀리도 10년내 완전 전환,"['전기차', '역시', '대세', '슈퍼카', '벤틀리', '완전', '전환']"
오토타임즈,[하이빔]한국산 전기차 막겠다는 미국 대통령,"['하이', '빔', '국산', '전기차', '미국', '대통령']"
정책브리핑,이제 전기차 충전 편해지겠네~,"['이제', '전기차', '충전']"
지디넷코리아,"[시승기] 르노 전기차 ZOE, 내리막길서 주행가능거리 17km↑","['승기', '르노', '전기차', '내리막', '길', '주행', '가능', '거리']"
동아일보,글로벌 브랜드 속속 상륙.. 뜨거운 '전기차 레이스',"['글로벌', '브랜드', '상륙', '전기차', '레이스']"
뉴시스,"""현대·GM·포드 등 車업계, 전기차 잇딴 화재에 골머리"" WSJ","['현대', '포드', '등', '업계', '전기차', '화재', '골', '머리']"
머니투데이,규제 풀었더니..전기차 전용주차장 사라진다,"['규제', '전기차', '전용', '주차장']"
연합뉴스,"환경부 ""전기차 충전 기본요금 체계 개선..한시 지원도 검토""","['환경부', '전기차', '충전', '기본', '요금', '체계', '개선', '한시', '지원', '검토']"
뉴시스,현대차 차세대 전기차 브랜드명은 '아이오닉'..내년 출시(종합),"['현대차', '차세대', '전기차', '브랜드', '아이오', '닉', '내년', '출시', '종합']"
중앙일보,충전요금 인상에 전기차 사면 되레 손해? 가성비 따져보니,"['충전', '요금', '인상', '전기차', '사면', '되레', '손해', '가성', '비']"
뉴시스,[코로나 이후 신세계]전기차 배터리 수요 굳건..공급처 다변화로 위기 돌파,"['코로나', '이후', '신세계', '전기차', '배터리', '수요', '공급', '처', '다변', '화로', '위기', '돌파']"
전자신문,미국 전기차 판매량 10년 만에 첫 감소,"['미국', '전기차', '판매량', '첫', '감소']"
뉴시스,"쎄미시스코, 2인승 전기차 '이브이 제타' 출시","['시스코', '인승', '전기차', '이브이', '제타', '출시']"
쿠키뉴스,코로나19에 변동성 증시..외국인 순매수 '전기차·IT·반도체' 집중,"['코로나', '변동성', '증시', '외국인', '매수', '전기차', '반도체', '집중']"
뉴시스,약진하는 테슬라·도전하는 현대차..전기차시장 '활활',"['약진', '테슬라', '도전', '현대차', '전기차', '시장', '활활']"
중앙일보,"GM 사활 건 전기차 보라, 여기에 '탈홍콩' 韓유치전 답 있다","['사활', '건', '전기차', '보라', '여기', '탈', '홍콩', '유치', '전', '답']"
연합뉴스,전기차 대세 되기 전에 '준(準)하이브리드' 뜬다,"['전기차', '대세', '전', '준', '하이브리드']"
